UI GOLDEN BEGIN
scene|battle|name|Battle
battle|step1|party1|67/67
battle|step1|mp|3000
battle|step2|party1|67/67
battle|step2|enemy1|12/12
battle|step2|enemy2|32/32
battle|step2|mp|3000
battle|step3|party1|67/67
battle|step3|enemy1|12/12
battle|step3|enemy2|32/32
battle|step3|mp|3000
battle|step4|party1|67/67
battle|step4|enemy1|12/12
battle|step4|enemy2|32/32
battle|step4|mp|3000
battle|step5|party1|67/67
battle|step5|enemy1|12/12
battle|step5|enemy2|32/32
battle|step5|mp|3000
battle|step6|party1|67/67
battle|step6|enemy1|12/12
battle|step6|enemy2|32/32
battle|step6|mp|3000
battle|step7|party1|67/67
battle|step7|enemy1|12/12
battle|step7|enemy2|32/32
battle|step7|mp|3000
battle|step8|party1|67/67
battle|step8|enemy1|12/12
battle|step8|enemy2|32/32
battle|step8|mp|3000
battle|step9|party1|67/67
battle|step9|enemy1|12/12
battle|step9|enemy2|32/32
battle|step9|mp|3000
battle|step10|party1|67/67
battle|step10|enemy1|12/12
battle|step10|enemy2|32/32
battle|step10|mp|3000
battle|step11|party1|67/67
battle|step11|enemy1|12/12
battle|step11|enemy2|32/32
battle|step11|mp|3000
battle|step12|party1|67/67
battle|step12|enemy1|12/12
battle|step12|enemy2|32/32
battle|step12|mp|3000
battle|step13|party1|67/67
battle|step13|enemy1|12/12
battle|step13|enemy2|32/32
battle|step13|mp|3000
battle|step14|party1|67/67
battle|step14|enemy1|12/12
battle|step14|enemy2|32/32
battle|step14|mp|3000
battle|step15|party1|67/67
battle|step15|enemy1|12/12
battle|step15|enemy2|32/32
battle|step15|mp|3000
battle|step16|party1|67/67
battle|step16|enemy1|12/12
battle|step16|enemy2|32/32
battle|step16|mp|3000
battle|step17|party1|67/67
battle|step17|enemy1|12/12
battle|step17|enemy2|32/32
battle|step17|mp|3000
battle|step18|party1|67/67
battle|step18|enemy1|12/12
battle|step18|enemy2|32/32
battle|step18|mp|3000
battle|step19|party1|67/67
battle|step19|enemy1|12/12
battle|step19|enemy2|32/32
battle|step19|mp|3000
battle|step20|party1|67/67
battle|step20|enemy1|12/12
battle|step20|enemy2|32/32
battle|step20|mp|3000
battle|step21|party1|67/67
battle|step21|enemy1|12/12
battle|step21|enemy2|32/32
battle|step21|mp|3000
battle|step22|party1|67/67
battle|step22|enemy1|12/12
battle|step22|enemy2|32/32
battle|step22|mp|3000
battle|step23|party1|67/67
battle|step23|enemy1|12/12
battle|step23|enemy2|32/32
battle|step23|mp|3000
battle|step24|party1|67/67
battle|step24|enemy1|12/12
battle|step24|enemy2|32/32
battle|step24|mp|3000
battle|step25|party1|67/67
battle|step25|enemy1|12/12
battle|step25|enemy2|32/32
battle|step25|mp|3000
battle|step26|party1|67/67
battle|step26|enemy1|12/12
battle|step26|enemy2|32/32
battle|step26|mp|3000
battle|step27|party1|67/67
battle|step27|enemy1|12/12
